index,time_ms,time_realtime_ms,time_monotonic_ms,ros_timestamp,playing_0
435,8699.989,1786879985229.422,14773047.357,0.000000000,1.000000000
436,8719.990,1786879985249.423,14773067.358,0.000000000,1.000000000
437,8739.986,1786879985269.418,14773087.353,0.000000000,1.000000000
438,8759.986,1786879985289.419,14773107.354,0.000000000,1.000000000
439,8779.987,1786879985309.419,14773127.354,0.000000000,1.000000000
440,8799.987,1786879985329.419,14773147.354,0.000000000,1.000000000
441,8819.987,1786879985349.420,14773167.355,0.000000000,1.000000000
442,8839.984,1786879985369.416,14773187.351,0.000000000,1.000000000
443,8859.985,1786879985389.417,14773207.352,0.000000000,1.000000000
444,8879.984,1786879985409.416,14773227.351,0.000000000,1.000000000
445,8899.984,1786879985429.416,14773247.351,0.000000000,1.000000000
446,8919.983,1786879985449.415,14773267.350,0.000000000,1.000000000
447,8939.983,1786879985469.415,14773287.350,0.000000000,1.000000000
448,8959.982,1786879985489.415,14773307.350,0.000000000,1.000000000
449,8979.983,1786879985509.415,14773327.350,0.000000000,1.000000000
450,8999.984,1786879985529.416,14773347.351,0.000000000,1.000000000
451,9019.984,1786879985549.416,14773367.351,0.000000000,1.000000000
452,9039.982,1786879985569.415,14773387.349,0.000000000,1.000000000
453,9059.982,1786879985589.415,14773407.350,0.000000000,1.000000000
454,9079.986,1786879985609.418,14773427.353,0.000000000,1.000000000
455,9099.986,1786879985629.418,14773447.353,0.000000000,1.000000000
456,9119.988,1786879985649.420,14773467.355,0.000000000,1.000000000
457,9139.990,1786879985669.422,14773487.357,0.000000000,1.000000000
458,9159.990,1786879985689.423,14773507.358,0.000000000,1.000000000
459,9179.989,1786879985709.421,14773527.356,0.000000000,1.000000000
460,9199.988,1786879985729.420,14773547.355,0.000000000,1.000000000
461,9219.987,1786879985749.420,14773567.355,0.000000000,1.000000000
462,9239.988,1786879985769.421,14773587.356,0.000000000,1.000000000
463,9259.983,1786879985789.416,14773607.351,0.000000000,1.000000000
464,9279.983,1786879985809.415,14773627.350,0.000000000,1.000000000
465,9299.983,1786879985829.415,14773647.350,0.000000000,1.000000000
